selection#  	  units 	 distance 	 units
2 	 127.6461 	 pixels	 165.9401 	 microns
3 	 201.432 	 pixels	 261.8618 	 microns
4 	 317.4096 	 pixels	 412.6329 	 microns
5 	 182.0822 	 pixels	 236.7071 	 microns
6 	 365.253 	 pixels	 474.8294 	 microns
7 	 374.3964 	 pixels	 486.7158 	 microns
8 	 328.8484 	 pixels	 427.5034 	 microns
9 	 427.5126 	 pixels	 555.767 	 microns
10 	 357.3119 	 pixels	 464.5059 	 microns
11 	 412.4348 	 pixels	 536.1657 	 microns
12 	 377.8656 	 pixels	 491.2257 	 microns
13 	 448.983 	 pixels	 583.6785 	 microns
14 	 468.1886 	 pixels	 608.6458 	 microns
15 	 418.0245 	 pixels	 543.4324 	 microns
16 	 318.5282 	 pixels	 414.0871 	 microns
17 	 359.0314 	 pixels	 466.7413 	 microns
18 	 410.6574 	 pixels	 533.8552 	 microns
19 	 331.1403 	 pixels	 430.4829 	 microns
20 	 472.8896 	 pixels	 614.7571 	 microns
21 	 495.1346 	 pixels	 643.6756 	 microns
22 	 457.4103 	 pixels	 594.634 	 microns
23 	 482.8078 	 pixels	 627.6508 	 microns
24 	 444.6258 	 pixels	 578.0141 	 microns
25 	 417.9671 	 pixels	 543.3577 	 microns
26 	 373.5372 	 pixels	 485.5988 	 microns
27 	 530.8793 	 pixels	 690.1438 	 microns
28 	 91.0141 	 pixels	 118.3185 	 microns
29 	 410.9734 	 pixels	 534.2659 	 microns
30 	 434.9946 	 pixels	 565.4935 	 microns
31 	 470.5968 	 pixels	 611.7765 	 microns
32 	 542.6033 	 pixels	 705.385 	 microns
33 	 341.8038 	 pixels	 444.3454 	 microns
34 	 449.7863 	 pixels	 584.7228 	 microns
35 	 534.2904 	 pixels	 694.5782 	 microns
36 	 478.3364 	 pixels	 621.8379 	 microns
37 	 173.9983 	 pixels	 226.198 	 microns
38 	 510.3841 	 pixels	 663.4999 	 microns
39 	 411.7467 	 pixels	 535.2713 	 microns
40 	 558.828 	 pixels	 726.4772 	 microns
41 	 492.6978 	 pixels	 640.5078 	 microns
42 	 285.2192 	 pixels	 370.7853 	 microns
43 	 318.1847 	 pixels	 413.6405 	 microns
44 	 341.7751 	 pixels	 444.3081 	 microns
45 	 448.897 	 pixels	 583.5666 	 microns
46 	 353.8147 	 pixels	 459.9596 	 microns
47 	 480.9735 	 pixels	 625.2662 	 microns
48 	 419.6584 	 pixels	 545.5564 	 microns
49 	 525.8921 	 pixels	 683.6604 	 microns
50 	 382.8241 	 pixels	 497.6718 	 microns
51 	 322.3974 	 pixels	 419.117 	 microns
52 	 545.1549 	 pixels	 708.7021 	 microns
53 	 422.5541 	 pixels	 549.3209 	 microns
54 	 383.9128 	 pixels	 499.0871 	 microns
55 	 527.4688 	 pixels	 685.7101 	 microns
56 	 481.4031 	 pixels	 625.8247 	 microns
57 	 310.788 	 pixels	 404.0248 	 microns
58 	 391.7393 	 pixels	 509.2615 	 microns
59 	 242.9383 	 pixels	 315.8201 	 microns
60 	 329.6786 	 pixels	 428.5826 	 microns
61 	 548.7378 	 pixels	 713.3599 	 microns
62 	 478.9953 	 pixels	 622.6946 	 microns
63 	 544.3522 	 pixels	 707.6586 	 microns
64 	 435.0801 	 pixels	 565.6048 	 microns
65 	 402.6599 	 pixels	 523.4583 	 microns
66 	 571.0677 	 pixels	 742.3888 	 microns
67 	 529.3887 	 pixels	 688.206 	 microns
68 	 540.0816 	 pixels	 702.1068 	 microns
69 	 529.0736 	 pixels	 687.7963 	 microns
70 	 458.8729 	 pixels	 596.5354 	 microns
71 	 312.2793 	 pixels	 405.9635 	 microns
72 	 377.1769 	 pixels	 490.3304 	 microns
73 	 436.7438 	 pixels	 567.7675 	 microns
74 	 352.0095 	 pixels	 457.6127 	 microns
75 	 728.411 	 pixels	 946.9352 	 microns
76 	 473.4055 	 pixels	 615.4278 	 microns
77 	 225.9693 	 pixels	 293.7603 	 microns
78 	 524.1144 	 pixels	 681.3493 	 microns
79 	 387.7253 	 pixels	 504.0434 	 microns
80 	 356.3663 	 pixels	 463.2766 	 microns
81 	 513.2222 	 pixels	 667.1895 	 microns
82 	 540.3387 	 pixels	 702.441 	 microns
83 	 446.6323 	 pixels	 580.6225 	 microns
84 	 247.5817 	 pixels	 321.8565 	 microns
85 	 492.4394 	 pixels	 640.1719 	 microns
86 	 348.54 	 pixels	 453.1025 	 microns
87 	 529.8766 	 pixels	 688.8402 	 microns
88 	 370.4694 	 pixels	 481.6107 	 microns
89 	 488.6843 	 pixels	 635.2903 	 microns
90 	 545.1261 	 pixels	 708.6646 	 microns
91 	 538.0457 	 pixels	 699.4601 	 microns
92 	 561.6086 	 pixels	 730.0919 	 microns
93 	 350.1462 	 pixels	 455.1905 	 microns
94 	 718.0633 	 pixels	 933.4832 	 microns
95 	 426.1663 	 pixels	 554.0168 	 microns
96 	 496.9111 	 pixels	 645.985 	 microns
97 	 546.2437 	 pixels	 710.1176 	 microns
98 	 515.6014 	 pixels	 670.2826 	 microns
99 	 336.645 	 pixels	 437.6389 	 microns
100 	 580.1547 	 pixels	 754.2018 	 microns
101 	 394.9209 	 pixels	 513.3976 	 microns
102 	 352.7253 	 pixels	 458.5433 	 microns
103 	 322.9706 	 pixels	 419.8622 	 microns
104 	 444.2821 	 pixels	 577.5673 	 microns
105 	 504.8516 	 pixels	 656.3077 	 microns
106 	 491.1781 	 pixels	 638.5322 	 microns
107 	 501.8989 	 pixels	 652.4693 	 microns
108 	 516.2026 	 pixels	 671.0641 	 microns
109 	 723.2803 	 pixels	 940.2653 	 microns
110 	 544.3519 	 pixels	 707.6582 	 microns
111 	 495.0478 	 pixels	 643.5628 	 microns
112 	 560.9207 	 pixels	 729.1977 	 microns
113 	 538.8481 	 pixels	 700.5033 	 microns
114 	 510.9282 	 pixels	 664.2074 	 microns
115 	 491.3786 	 pixels	 638.7928 	 microns
116 	 527.8694 	 pixels	 686.2309 	 microns
117 	 522.3656 	 pixels	 679.076 	 microns
118 	 688.6813 	 pixels	 895.2866 	 microns
119 	 580.2697 	 pixels	 754.3514 	 microns
120 	 599.3893 	 pixels	 779.2068 	 microns
121 	 632.4407 	 pixels	 822.1737 	 microns
122 	 598.7304 	 pixels	 778.3503 	 microns
123 	 625.5606 	 pixels	 813.2295 	 microns
124 	 724.3692 	 pixels	 941.6808 	 microns
