selection#  	  units 	 distance 	 units
2 	 230.1708 	 pixels	 299.2223 	 microns
3 	 188.8712 	 pixels	 245.5327 	 microns
4 	 106.716 	 pixels	 138.731 	 microns
5 	 127.2633 	 pixels	 165.4425 	 microns
6 	 89.7257 	 pixels	 116.6435 	 microns
7 	 286.0884 	 pixels	 371.9153 	 microns
8 	 151.607 	 pixels	 197.0894 	 microns
9 	 107.24 	 pixels	 139.4121 	 microns
10 	 275.8991 	 pixels	 358.6692 	 microns
11 	 318.7858 	 pixels	 414.422 	 microns
12 	 119.311 	 pixels	 155.1044 	 microns
13 	 247.4427 	 pixels	 321.6758 	 microns
14 	 201.9752 	 pixels	 262.568 	 microns
15 	 117.306 	 pixels	 152.4979 	 microns
16 	 138.0084 	 pixels	 179.4111 	 microns
17 	 191.5566 	 pixels	 249.0238 	 microns
18 	 586.5027 	 pixels	 762.4542 	 microns
19 	 375.5736 	 pixels	 488.2461 	 microns
20 	 305.4428 	 pixels	 397.076 	 microns
21 	 182.6685 	 pixels	 237.4693 	 microns
22 	 267.3963 	 pixels	 347.6155 	 microns
23 	 139.6817 	 pixels	 181.5864 	 microns
24 	 512.7002 	 pixels	 666.5109 	 microns
25 	 309.2895 	 pixels	 402.0767 	 microns
26 	 252.5006 	 pixels	 328.2511 	 microns
27 	 596.1034 	 pixels	 774.9351 	 microns
28 	 530.2405 	 pixels	 689.3134 	 microns
29 	 418.91 	 pixels	 544.5836 	 microns
30 	 186.3602 	 pixels	 242.2685 	 microns
31 	 139.6922 	 pixels	 181.6 	 microns
32 	 283.3814 	 pixels	 368.3961 	 microns
33 	 348.1736 	 pixels	 452.6261 	 microns
34 	 223.5797 	 pixels	 290.6539 	 microns
35 	 172.4902 	 pixels	 224.2375 	 microns
36 	 403.4084 	 pixels	 524.4314 	 microns
37 	 353.7512 	 pixels	 459.877 	 microns
38 	 204.826 	 pixels	 266.2741 	 microns
39 	 274.2938 	 pixels	 356.5823 	 microns
40 	 393.0108 	 pixels	 510.9146 	 microns
41 	 253.8751 	 pixels	 330.038 	 microns
42 	 448.8072 	 pixels	 583.45 	 microns
43 	 211.529 	 pixels	 274.988 	 microns
44 	 106.387 	 pixels	 138.3032 	 microns
45 	 266.3012 	 pixels	 346.1919 	 microns
46 	 154.9698 	 pixels	 201.461 	 microns
47 	 372.063 	 pixels	 483.6824 	 microns
