selection#  	  units 	 distance 	 units
2 	 393.1188 	 pixels	 511.0549 	 microns
3 	 149.3224 	 pixels	 194.1194 	 microns
4 	 275.8692 	 pixels	 358.6303 	 microns
5 	 331.4634 	 pixels	 430.9029 	 microns
6 	 348.9803 	 pixels	 453.6748 	 microns
7 	 382.9718 	 pixels	 497.8638 	 microns
8 	 312.2325 	 pixels	 405.9027 	 microns
9 	 290.4152 	 pixels	 377.5401 	 microns
10 	 217.7832 	 pixels	 283.1184 	 microns
11 	 506.2734 	 pixels	 658.1561 	 microns
12 	 262.8372 	 pixels	 341.6887 	 microns
13 	 352.8322 	 pixels	 458.6823 	 microns
14 	 295.4758 	 pixels	 384.1189 	 microns
15 	 333.3954 	 pixels	 433.4145 	 microns
16 	 286.2012 	 pixels	 372.0619 	 microns
17 	 409.71 	 pixels	 532.6235 	 microns
18 	 310.2785 	 pixels	 403.3624 	 microns
19 	 228.9382 	 pixels	 297.62 	 microns
20 	 444.9079 	 pixels	 578.3808 	 microns
21 	 285.6607 	 pixels	 371.3593 	 microns
22 	 521.5023 	 pixels	 677.9536 	 microns
23 	 245.761 	 pixels	 319.4896 	 microns
24 	 362.1359 	 pixels	 470.7771 	 microns
25 	 316.775 	 pixels	 411.8079 	 microns
26 	 235.2287 	 pixels	 305.7977 	 microns
27 	 267.6527 	 pixels	 347.9488 	 microns
28 	 243.8072 	 pixels	 316.9497 	 microns
29 	 208.0428 	 pixels	 270.4559 	 microns
30 	 187.0144 	 pixels	 243.119 	 microns
31 	 496.747 	 pixels	 645.7717 	 microns
32 	 371.3052 	 pixels	 482.6972 	 microns
33 	 622.8234 	 pixels	 809.6713 	 microns
34 	 428.9436 	 pixels	 557.6273 	 microns
35 	 215.3971 	 pixels	 280.0165 	 microns
36 	 506.7731 	 pixels	 658.8057 	 microns
37 	 319.7086 	 pixels	 415.6216 	 microns
38 	 304.776 	 pixels	 396.2091 	 microns
39 	 312.3357 	 pixels	 406.0368 	 microns
40 	 275.836 	 pixels	 358.5872 	 microns
41 	 422.5217 	 pixels	 549.2787 	 microns
42 	 282.9761 	 pixels	 367.8692 	 microns
43 	 241.339 	 pixels	 313.741 	 microns
44 	 210.9791 	 pixels	 274.2731 	 microns
45 	 172.9698 	 pixels	 224.8609 	 microns
46 	 391.7145 	 pixels	 509.2294 	 microns
47 	 489.3122 	 pixels	 636.1066 	 microns
48 	 310.7503 	 pixels	 403.9758 	 microns
49 	 568.8794 	 pixels	 739.544 	 microns
50 	 231.4142 	 pixels	 300.8387 	 microns
51 	 507.6856 	 pixels	 659.992 	 microns
52 	 352.8236 	 pixels	 458.6712 	 microns
53 	 480.6375 	 pixels	 624.8294 	 microns
54 	 645.6365 	 pixels	 839.3283 	 microns
55 	 437.0741 	 pixels	 568.1969 	 microns
56 	 332.8211 	 pixels	 432.6678 	 microns
57 	 304.3005 	 pixels	 395.5911 	 microns
58 	 240.5479 	 pixels	 312.7126 	 microns
59 	 406.4802 	 pixels	 528.4247 	 microns
60 	 539.1744 	 pixels	 700.9274 	 microns
61 	 301.5077 	 pixels	 391.9604 	 microns
62 	 325.9607 	 pixels	 423.7494 	 microns
63 	 231.9846 	 pixels	 301.5803 	 microns
64 	 218.0353 	 pixels	 283.4462 	 microns
65 	 250.6582 	 pixels	 325.856 	 microns
66 	 492.4321 	 pixels	 640.1624 	 microns
67 	 360.4468 	 pixels	 468.5813 	 microns
68 	 312.5682 	 pixels	 406.3391 	 microns
69 	 211.0386 	 pixels	 274.3505 	 microns
70 	 272.6089 	 pixels	 354.392 	 microns
71 	 419.2423 	 pixels	 545.0155 	 microns
72 	 291.9759 	 pixels	 379.5691 	 microns
73 	 260.5101 	 pixels	 338.6635 	 microns
74 	 464.0991 	 pixels	 603.3295 	 microns
75 	 280.8186 	 pixels	 365.0646 	 microns
76 	 312.499 	 pixels	 406.2492 	 microns
77 	 547.7658 	 pixels	 712.0962 	 microns
78 	 406.8515 	 pixels	 528.9075 	 microns
79 	 275.4845 	 pixels	 358.1302 	 microns
80 	 485.5194 	 pixels	 631.1758 	 microns
81 	 301.9232 	 pixels	 392.5006 	 microns
82 	 377.0804 	 pixels	 490.205 	 microns
83 	 235.2753 	 pixels	 305.8582 	 microns
84 	 339.6382 	 pixels	 441.5302 	 microns
85 	 254.4809 	 pixels	 330.8256 	 microns
86 	 281.5773 	 pixels	 366.0508 	 microns
87 	 233.7592 	 pixels	 303.8873 	 microns
88 	 586.8055 	 pixels	 762.8479 	 microns
89 	 442.9542 	 pixels	 575.8411 	 microns
90 	 397.4896 	 pixels	 516.737 	 microns
91 	 223.568 	 pixels	 290.6387 	 microns
92 	 289.2806 	 pixels	 376.0652 	 microns
93 	 338.1706 	 pixels	 439.6222 	 microns
94 	 355.6875 	 pixels	 462.3942 	 microns
95 	 271.265 	 pixels	 352.6448 	 microns
