Mouse,Slice,Field,Area
10,1,AuP,693743
10,1,AuV,778233
10,1,TeA,654315
10,3,AuP,426815
10,3,AuV,800174
10,3,TeA,596476
9,2,AuP,822599
9,2,AuV,770766
9,2,TeA,679874
9,3,AuP,911760
9,3,AuV,624515
9,3,TeA,492886
9,4,AuP,491513
9,4,AuV,509132
9,4,TeA,428490
3,1,AuP,478468
3,1,AuV,570857
3,1,TeA,488603
3,2,AuP,523693
3,2,AuV,569379
3,2,TeA,538641
3,3,AuP,526262
3,3,AuV,431260
3,3,TeA,386115
2,2,AuP,464394
2,2,AuV,450423
2,2,TeA,370448
6,1,AuP,393804
6,1,AuV,467855
6,1,TeA,266580
